mach;value
1.1;0.3539
1.23;0.4459
1.36;0.4584
1.49;0.4432
1.62;0.4181
1.75;0.3899
1.88;0.3628
2.01;0.3374
2.14;0.314
2.27;0.2924
2.4;0.2732
2.53;0.2564
2.66;0.2413
2.79;0.2276
2.92;0.2152
3.05;0.2042
3.18;0.1943
3.31;0.1853
3.44;0.1771
3.57;0.1696
3.7;0.1626
3.83;0.1561
3.96;0.15
4.09;0.1448
4.22;0.14
4.35;0.1355
4.48;0.1314
4.61;0.1275
4.74;0.124
4.87;0.1208
5.0;0.1178
